Source;Target
891;946
867;839
861;838
855;837
909;837
903;838
564;674
564;673
580;673
572;675
572;673
572;674
588;674
588;674
733;521
733;507
733;514
740;507
740;514
740;521
1546;352
1546;528
791;674
675;792
675;673
275;514
521;650
514;612
733;721
514;556
1337;1368
740;722
416;310
416;317
416;352
409;282
402;345
402;409
409;289
423;331
402;423
402;338
416;303
402;416
521;1250
282;1536
1538;282
1544;352
1540;289
1542;289
1250;1208
986;1089
1089;998
998;1095
1095;1004
1004;1101
1101;1071
1089;1065
992;1089
1101;1882
674;673
674;675
674;792
843;855
843;861
528;501
345;324
324;345
324;338
338;324
489;501
489;477
495;501
477;489
501;489
501;528
495;483
352;282
282;352
489;521
521;477
331;324
528;331
483;471
483;495
507;471
521;507
471;483
352;324
352;289
477;521
289;352
501;495
324;352
331;528
324;331
471;507
507;521
1311;1208
556;1202
1302;1214
596;1196
556;1226
588;1226
564;1202
572;1214
580;1214
676;673
837;674
839;673
838;794
946;792
838;793
838;795
838;796
838;803
861;1220
1393;1196
1399;1208
861;1414
1393;1407
843;935
1065;1110
998;1116
986;1128
986;1455
1065;1462
1882;1813
1870;1399
1540;507
1542;507
1226;521
1202;521
1214;521
1196;521
1208;521
1202;1368
1196;564
1220;564
1208;588
1226;1368
1214;1368
1407;612
935;722
1414;721
1414;1399
1407;861
1793;1800
1393;1800
849;1800
1399;843
855;849
855;1793
1813;1399
1455;1393
1455;861
1462;861
1462;1399
1536;521
1538;521
1544;521
796;675
793;675
795;675
803;675
794;675
651;564
1302;1311
564;572
556;1302
721;612
572;580
580;588
650;721
612;722
891;897
897;903
903;909